,horsepower,engine,energie,boite_de_vitesse,porte,couleur,premiere_main,departement,age,Finition
0,90.0,0.9,Essence,meca,5.0,platine,non,33,565,Intens
1,75.0,1.5,Diesel,meca,3.0,blanc,non,81,3437,autre
2,110.0,1.6,Essence,auto,5.0,gris,non,63,4906,autre
3,60.0,1.2,Essence,meca,5.0,rouge,non,91,3743,autre
4,90.0,0.9,Essence,meca,5.0,bleu,non,17,831,Intens
5,75.0,1.5,Diesel,meca,5.0,blanc,non,44,2636,Business
6,70.0,1.5,Diesel,meca,5.0,gris,non,33,4535,autre
7,90.0,0.9,Essence,meca,5.0,blanc,non,91,403,Business
8,90.0,0.9,Essence,meca,5.0,noir,non,77,982,Intens
9,90.0,0.9,Essence,meca,5.0,blanc,oui,35,1072,Intens
10,90.0,0.9,Essence,meca,5.0,gris,non,50,667,Limited
11,120.0,1.2,Essence,meca,5.0,rouge,oui,77,712,Intens
12,90.0,0.9,Essence,meca,5.0,blanc,non,35,922,Intens
13,75.0,1.5,Diesel,meca,5.0,gris,oui,78,731,Business
14,120.0,1.2,Essence,meca,5.0,gris,non,82,861,Intens
15,75.0,1.5,Diesel,meca,5.0,blanc,oui,78,681,autre
16,90.0,1.5,Diesel,meca,5.0,gris,oui,31,848,Business
17,90.0,1.5,Diesel,meca,5.0,gris,oui,34,736,Intens
18,90.0,1.5,Diesel,meca,5.0,gris,non,20,938,Zen
19,90.0,1.5,Diesel,meca,5.0,blanc,non,79,366,Business
20,220.0,1.6,Essence,auto,5.0,noir,oui,42,709,RS
21,90.0,1.5,Diesel,meca,5.0,gris,non,38,977,Intens
22,90.0,0.9,Essence,meca,5.0,gris,non,64,2000,Intens
23,75.0,1.5,Diesel,meca,5.0,blanc,non,69,714,Societe
24,75.0,1.2,Essence,meca,5.0,blanc,non,74,1634,Limited
25,75.0,1.5,Diesel,meca,5.0,gris,oui,64,1495,Zen
26,90.0,1.5,Diesel,meca,5.0,autre,non,64,2769,Business
27,75.0,1.5,Diesel,meca,5.0,gris,non,40,1447,Zen
28,90.0,1.5,Diesel,meca,5.0,rouge,non,83,1542,Intens
29,90.0,1.5,Diesel,meca,5.0,blanc,oui,34,1547,autre
30,220.0,1.6,Essence,auto,5.0,rouge,non,16,1646,RS
31,90.0,1.5,Diesel,meca,5.0,gris,non,86,1198,Business
32,75.0,1.5,Diesel,meca,5.0,blanc,oui,91,1716,Societe
33,75.0,1.5,Diesel,meca,5.0,blanc,oui,91,1439,Societe
34,90.0,1.5,Diesel,meca,5.0,blanc,non,69,1101,Societe
35,100.0,1.0,Essence,meca,5.0,rouge,non,77,104,autre
36,100.0,1.0,Essence,meca,5.0,bleu,non,71,250,Intens
37,130.0,1.3,Essence,auto,5.0,gris,oui,85,384,Intens
38,85.0,1.5,Diesel,meca,5.0,gris,oui,69,256,Business
39,115.0,1.5,Diesel,meca,5.0,gris,oui,69,500,Intens
40,90.0,0.9,Essence,meca,0.0,gris,non,83,1182,autre
41,65.0,1.5,Diesel,meca,3.0,bleu,non,93,6598,autre
42,100.0,1.2,Essence,meca,3.0,noir,non,59,3313,Expression
43,75.0,0.9,Essence,meca,5.0,blanc,oui,16,663,Business
44,90.0,0.9,Essence,meca,5.0,gris,oui,59,710,Business
45,90.0,0.9,Essence,meca,5.0,blanc,non,40,1189,Business
46,110.0,1.6,Essence,auto,3.0,gris,non,78,5498,Expression
47,90.0,0.9,Essence,meca,5.0,noir,oui,82,824,Business
48,90.0,0.9,Essence,meca,5.0,platine,non,33,536,Intens
49,90.0,0.9,Essence,meca,5.0,gris,oui,25,532,Intens
50,90.0,0.9,Essence,meca,5.0,gris,non,59,1013,Limited
51,75.0,1.2,Essence,meca,5.0,noir,non,91,743,Zen
